-2.931896586,-8.242912175,-10.26562662,-10.87872953,-21.82493663,-15.01010412,-21.49363683,aa
-2.88860306,-8.31953939,-10.26944479,-10.37336547,-20.700991,-14.85552754,-21.4693414,aa
-2.827985675,-7.208544927,-9.646955896,-10.5787365,-20.70206019,-14.30758704,-21.35504894,aa
-2.84957498,-8.049980791,-9.983236003,-10.45258877,-20.67492659,-14.59284985,-21.51810943,aa
-2.781395221,-7.778928791,-10.05277072,-9.488617909,-19.99610269,-13.38267554,-19.26673515,aa
-2.941936194,-8.592078859,-10.29296484,-10.18112627,-20.43238775,-14.47984902,-21.01723068,aa
-2.799764219,-7.853219826,-10.01841806,-10.34425146,-20.67917143,-14.3864981,-20.6730738,aa
-3.005715602,-9.316591948,-10.88122044,-10.71684232,-21.55077627,-15.47125897,-21.93003978,aa
-3.049088098,-8.878459535,-11.75149197,-11.50118646,-23.26280303,-15.97140209,-23.29442883,aa
-2.827985675,-7.208544927,-9.646955896,-10.5787365,-20.70206019,-14.30758704,-21.35504894,aa
-2.84957498,-8.049980791,-9.983236003,-10.45258877,-20.67492659,-14.59284985,-21.51810943,aa
-2.941936194,-8.592078859,-10.29296484,-10.18112627,-20.43238775,-14.47984902,-21.01723068,aa
-2.766238937,-7.659910526,-9.818553391,-9.756838325,-19.58914178,-13.69483213,-19.91012906,aa
-2.960289757,-8.333184086,-10.68788845,-10.36353991,-20.91128525,-14.74722113,-21.39703498,aa
-2.776597739,-9.492058016,-9.607362163,-9.453812722,-19.04123165,-14.46230372,-19.30327918,aa
-2.776597739,-9.492058016,-9.607362163,-9.453812722,-19.04123165,-14.46230372,-19.30327918,aa
-2.879302699,-8.265175102,-10.1353128,-10.48261159,-20.97232056,-14.62470143,-20.91555617,aa
-2.906846669,-8.097866997,-10.15065751,-10.81361665,-21.29577718,-14.91814874,-23.27909048,aa
-2.871425424,-7.806555488,-10.28981022,-10.70841219,-21.30455368,-15.09244966,-21.4291585,aa
-2.789419547,-7.86915399,-10.02612187,-11.27225344,-21.95003213,-15.91507707,-22.37584205,aa
-2.904840296,-7.510202928,-10.24581692,-10.1872689,-22.10078529,-13.97584103,-20.40389949,aa
-2.775679594,-8.279385886,-10.01103793,-10.70692696,-21.17464553,-15.32070848,-21.2682037,aa
-2.744432464,-7.38345981,-9.883635799,-9.645661112,-19.46154309,-13.49452631,-19.74902296,aa
-2.975983288,-8.701777289,-10.76294528,-10.75056409,-21.6850106,-15.12912107,-21.63368303,aa
-3.001706028,-8.154147606,-10.82128684,-11.20303228,-22.21787848,-15.49895869,-23.17030615,aa
-2.897032986,-7.783492213,-10.45337246,-10.59491971,-21.60725822,-14.56986375,-21.14329702,aa
-2.861401046,-7.62628254,-10.05162021,-10.57919884,-20.99075333,-14.59384523,-21.11782388,aa
-3.05992149,-8.4291852,-13.66355763,-11.03004789,-24.16804628,-15.33688245,-23.38260645,aa
